Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cuddle,Chrome 90.0.4430.93,,,2021-05-02 17:11:14,2021-05-02 17:12:52,1m - 38.622s,FAILED
,,,,,,,
Test Cases/Home_Adopt_Details,Chrome 90.0.4430.93,,,2021-05-02 17:11:14,2021-05-02 17:11:18,3.437s,FAILED
"openBrowser("""")",Chrome 90.0.4430.93,,,2021-05-02 17:11:15,2021-05-02 17:11:16,1.623s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 90.0.4430.93,,,2021-05-02 17:11:16,2021-05-02 17:11:17,0.795s,PASSED
"click(findTestObject(""Object Repository/Page_Cuddle/a_Adopt""))",Chrome 90.0.4430.93,,,2021-05-02 17:11:17,2021-05-02 17:11:18,0.737s,FAILED
,,,,,,,
Test Cases/Login_Logout,Chrome 90.0.4430.93,,,2021-05-02 17:11:18,2021-05-02 17:11:25,7.107s,PASSED
"openBrowser("""")",Chrome 90.0.4430.93,,,2021-05-02 17:11:18,2021-05-02 17:11:20,1.679s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 90.0.4430.93,,,2021-05-02 17:11:20,2021-05-02 17:11:20,0.828s,PASSED
maximizeWindow(),Chrome 90.0.4430.93,,,2021-05-02 17:11:20,2021-05-02 17:11:21,0.132s,PASSED
"click(findTestObject(""Object Repository/Page_Cuddle/a_Login""))",Chrome 90.0.4430.93,,,2021-05-02 17:11:21,2021-05-02 17:11:21,0.483s,PASSED
"setText(findTestObject(""Object Repository/Page_Please sign in/input_Username_username""), ""antoine.lestrade@he-arc.ch"")",Chrome 90.0.4430.93,,,2021-05-02 17:11:21,2021-05-02 17:11:22,0.627s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Please sign in/input_Password_password""), ""V2rEZwedbz9dlLHBWTk7CA=="")",Chrome 90.0.4430.93,,,2021-05-02 17:11:22,2021-05-02 17:11:22,0.395s,PASSED
"click(findTestObject(""Object Repository/Page_Please sign in/button_Sign in""))",Chrome 90.0.4430.93,,,2021-05-02 17:11:22,2021-05-02 17:11:23,0.594s,PASSED
"click(findTestObject(""Object Repository/Page_Cuddle/a_antoine.lestradehe-arc.ch""))",Chrome 90.0.4430.93,,,2021-05-02 17:11:23,2021-05-02 17:11:23,0.352s,PASSED
"Util.jsClick(findTestObject(""Object Repository/Page_Cuddle/a_Logout""))",Chrome 90.0.4430.93,,,2021-05-02 17:11:23,2021-05-02 17:11:23,0.428s,PASSED
closeBrowser(),Chrome 90.0.4430.93,,,2021-05-02 17:11:23,2021-05-02 17:11:25,1.369s,PASSED
,,,,,,,
Test Cases/BadCredential,Chrome 90.0.4430.93,,,2021-05-02 17:11:25,2021-05-02 17:11:32,7.551s,PASSED
"openBrowser("""")",Chrome 90.0.4430.93,,,2021-05-02 17:11:25,2021-05-02 17:11:26,1.082s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 90.0.4430.93,,,2021-05-02 17:11:26,2021-05-02 17:11:27,0.832s,PASSED
maximizeWindow(),Chrome 90.0.4430.93,,,2021-05-02 17:11:27,2021-05-02 17:11:27,0.140s,PASSED
"Util.jsClick(findTestObject(""Object Repository/Page_Cuddle/a_Login""))",Chrome 90.0.4430.93,,,2021-05-02 17:11:27,2021-05-02 17:11:28,0.426s,PASSED
"setText(findTestObject(""Object Repository/Page_Please sign in/input_Username_username""), ""florian.lestrade@he-arc.ch"")",Chrome 90.0.4430.93,,,2021-05-02 17:11:28,2021-05-02 17:11:28,0.628s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Please sign in/input_Password_password""), ""V2rEZwedbz9dlLHBWTk7CA=="")",Chrome 90.0.4430.93,,,2021-05-02 17:11:28,2021-05-02 17:11:29,0.360s,PASSED
"click(findTestObject(""Object Repository/Page_Please sign in/button_Sign in""))",Chrome 90.0.4430.93,,,2021-05-02 17:11:29,2021-05-02 17:11:29,0.408s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-02 17:11:29,2021-05-02 17:11:30,1.016s,PASSED
